Project,Date,Month,Forecasted Calls,Calls Offered,Calls Handled,Calls Handled With in Thrshold,Calls Abandon,ASA,Answer Time,Agent Name
Project A,3/1/2022,Mar-22,13389,11747,11596,9291,151,17.83088996,206767,Samir
Project A,3/2/2022,Mar-22,13134,14735,14092,7895,643,65.1659807,918319,Dina
Project A,3/3/2022,Mar-22,12545,13946,13256,5411,690,76.14431201,1009369,Rania
Project A,3/4/2022,Mar-22,9970,11663,10884,7211,779,92.36052922,1005252,Tariq
Project A,3/5/2022,Mar-22,12209,14504,13476,6228,1028,102.7876224,1385166,Youssef
Project A,3/6/2022,Mar-22,13843,15328,14652,9230,676,67.76262626,992858,Huda
Project A,3/7/2022,Mar-22,13585,16324,16223,15445,101,6.535474327,106025,Tariq
Project A,3/8/2022,Mar-22,13389,10822,10775,10647,47,3.315638051,35726,Mona
Project A,3/9/2022,Mar-22,13134,9565,9523,9269,42,4.059330043,38657,Khaled
Project A,3/10/2022,Mar-22,12545,10402,10275,9585,127,17.3426764,178196,Khaled
Project A,3/11/2022,Mar-22,9970,6966,6922,6577,44,6.938746027,48030,Khaled
Project A,3/12/2022,Mar-22,12209,8046,8019,7983,27,2.127447313,17060,Huda
Project A,3/13/2022,Mar-22,13841,8324,8303,8280,21,2.004094905,16640,Sara
Project A,3/14/2022,Mar-22,13585,7904,7884,7884,20,1.758371385,13863,Laila
Project A,3/15/2022,Mar-22,13389,7914,7883,7883,31,1.869085374,14734,Sara
Project A,3/16/2022,Mar-22,13134,7166,7135,7132,31,1.869796776,13341,Huda
Project A,3/17/2022,Mar-22,12545,6641,6615,6600,26,2.020861678,13368,Fatma
Project A,3/18/2022,Mar-22,9970,5685,5659,5637,26,1.953171939,11053,Laila
Project A,3/19/2022,Mar-22,12209,6476,6459,6452,17,1.797646695,11611,Khaled
Project A,3/20/2022,Mar-22,13841,7325,7297,7289,28,1.949294231,14224,Samir
Project A,3/21/2022,Mar-22,13585,6992,6963,6958,29,1.876490019,13066,Tariq
Project A,3/22/2022,Mar-22,13389,6923,6897,6897,26,1.937509062,13363,Hassan
Project A,3/23/2022,Mar-22,13134,6788,6768,6765,20,1.88105792,12731,Ali
Project A,3/24/2022,Mar-22,12545,10378,10197,8564,181,18.47298225,188369,Dina
Project A,3/25/2022,Mar-22,9970,8613,8582,8504,31,2.486949429,21343,Ali
Project A,3/26/2022,Mar-22,12209,6648,6617,6613,31,1.819253438,12038,Mona
Project A,3/27/2022,Mar-22,13841,10088,10032,9874,56,4.860745614,48763,Huda
Project A,3/28/2022,Mar-22,13585,8739,8701,8650,38,2.569359844,22356,Tariq
Project A,3/29/2022,Mar-22,13389,9200,9164,9156,36,1.997490179,18305,Fatma
Project A,3/30/2022,Mar-22,13134,9099,9071,9068,28,1.750192923,15876,Ali
Project A,3/31/2022,Mar-22,12545,8901,8872,8871,29,1.911632101,16960,Huda
Project B,3/1/2022,Mar-22,17117,18438,18071,14792,367,16.39245199,296228,Huda
Project B,3/2/2022,Mar-22,16778,19001,17785,10398,1216,68.29080686,1214552,Fatma
Project B,3/3/2022,Mar-22,16064,18290,16900,6847,1390,79.14159763,1337493,Youssef
Project B,3/4/2022,Mar-22,12818,15270,13785,8615,1485,103.4519405,1426085,Rania
Project B,3/5/2022,Mar-22,15654,17965,14864,5868,3101,180.9033907,2688948,Huda
Project B,3/6/2022,Mar-22,17684,21739,19805,11749,1934,89.53850038,1773310,Dina
Project B,3/7/2022,Mar-22,17370,17701,17475,16504,226,7.083891273,123791,Khaled
Project B,3/8/2022,Mar-22,17117,16261,16118,15893,143,3.337634942,53796,Ali
Project B,3/9/2022,Mar-22,16778,15106,14952,14350,154,5.191546281,77624,Ali
Project B,3/10/2022,Mar-22,16064,17374,16909,15521,465,27.29167899,461475,Nour
Project B,3/11/2022,Mar-22,12818,13395,13260,12637,135,6.404524887,84924,Mona
Project B,3/12/2022,Mar-22,15655,15160,15072,15006,88,2.120886412,31966,Omar
Project B,3/13/2022,Mar-22,17685,14825,14725,14702,100,1.933378608,28469,Sara
Project B,3/14/2022,Mar-22,17370,14415,14326,14326,89,1.767974312,25328,Hassan
Project B,3/15/2022,Mar-22,17117,14483,14398,14387,85,1.936727323,27885,Ali
Project B,3/16/2022,Mar-22,16778,14304,14211,14204,93,1.893392442,26907,Ali
Project B,3/17/2022,Mar-22,16064,13611,13494,13462,117,2.040091893,27529,Tariq
Project B,3/18/2022,Mar-22,12818,14427,14319,14155,108,2.430057965,34796,Hassan
Project B,3/19/2022,Mar-22,15655,14008,13908,13880,100,1.849439172,25722,Samir
Project B,3/20/2022,Mar-22,17685,15677,15573,15556,104,1.966544661,30625,Mona
Project B,3/21/2022,Mar-22,17370,16320,16229,16177,91,2.108694313,34222,Mona
Project B,3/22/2022,Mar-22,17117,14294,14202,14190,92,2.022461625,28723,Laila
Project B,3/23/2022,Mar-22,16778,14484,14402,14379,82,1.989307041,28650,Fatma
Project B,3/24/2022,Mar-22,16064,30381,29630,22741,751,25.40988863,752895,Dina
Project B,3/25/2022,Mar-22,12818,15592,15501,15358,91,2.478743307,38423,Tariq
Project B,3/26/2022,Mar-22,15655,13821,13732,13716,89,1.88952811,25947,Huda
Project B,3/27/2022,Mar-22,17685,18343,18200,17873,143,5.091923077,92673,Khaled
Project B,3/28/2022,Mar-22,17370,18046,17926,17727,120,3.085574027,55312,Rania
Project B,3/29/2022,Mar-22,17117,17228,17142,17102,86,2.128398087,36485,Dina
Project B,3/30/2022,Mar-22,16778,16005,15914,15904,91,1.78886515,28468,Mona
Project B,3/31/2022,Mar-22,16064,16001,15910,15907,91,1.959773727,31180,Tariq
Project C,3/1/2022,Mar-22,2771,2644,2622,2469,22,6.165141114,16165,Sara
Project C,3/2/2022,Mar-22,2711,3421,3387,3081,34,11.65839976,39487,Huda
Project C,3/3/2022,Mar-22,2674,3075,3033,2839,42,10.71513353,32499,Ahmed
Project C,3/4/2022,Mar-22,1989,2680,2625,2269,55,19.25866667,50554,Omar
Project C,3/5/2022,Mar-22,2297,2780,2746,2399,34,12.26729789,33686,Ahmed
Project C,3/6/2022,Mar-22,2825,3047,3035,2997,12,2.844481054,8633,Rania
Project C,3/7/2022,Mar-22,2799,2977,2948,2756,29,6.822591588,20113,Ali
Project C,3/8/2022,Mar-22,2771,2409,2386,2237,23,8.553227158,20408,Ahmed
Project C,3/9/2022,Mar-22,2710,2329,2309,2241,20,4.335643136,10011,Nour
Project C,3/10/2022,Mar-22,2674,2649,2613,2406,36,10.9177191,28528,Sara
Project C,3/11/2022,Mar-22,1989,1806,1800,1766,6,4.069444444,7325,Laila
Project C,3/12/2022,Mar-22,2297,2853,2831,2602,22,10.1112681,28625,Nour
Project C,3/13/2022,Mar-22,2825,2118,2109,2088,9,2.890943575,6097,Rania
Project C,3/14/2022,Mar-22,2798,2213,2198,2172,15,2.716105551,5970,Mona
Project C,3/15/2022,Mar-22,2771,2060,2051,2035,9,2.520721599,5170,Omar
Project C,3/16/2022,Mar-22,2711,1998,1992,1967,6,2.726907631,5432,Omar
Project C,3/17/2022,Mar-22,2674,1863,1849,1819,14,2.980530016,5511,Samir
Project C,3/18/2022,Mar-22,1989,1529,1518,1435,11,6.450592885,9792,Rania
Project C,3/19/2022,Mar-22,2297,1722,1714,1645,8,5.270128355,9033,Dina
Project C,3/20/2022,Mar-22,2825,1779,1772,1768,7,1.767494357,3132,Mona
Project C,3/21/2022,Mar-22,2798,1778,1769,1761,9,2.274731487,4024,Hassan
Project C,3/22/2022,Mar-22,2771,1680,1675,1668,5,2.602985075,4360,Omar
Project C,3/23/2022,Mar-22,2711,1802,1800,1789,2,2.076111111,3737,Ali
Project C,3/24/2022,Mar-22,2674,2693,2674,2646,19,2.901271503,7758,Huda
Project C,3/25/2022,Mar-22,1989,1759,1743,1659,16,7.091222031,12360,Rania
Project C,3/26/2022,Mar-22,2297,1587,1581,1552,6,3.301075269,5219,Omar
Project C,3/27/2022,Mar-22,2825,1989,1984,1972,5,2.549899194,5059,Rania
Project C,3/28/2022,Mar-22,2797,1929,1924,1921,5,1.757276507,3381,Youssef
Project C,3/29/2022,Mar-22,2771,2370,2355,2341,15,2.133757962,5025,Samir
Project C,3/30/2022,Mar-22,2710,2543,2534,2510,9,2.550907656,6464,Nour
Project C,3/31/2022,Mar-22,2674,2300,2290,2251,10,3.225327511,7386,Nour
